RESEARCHER,Title,School Year,Published/Presented,Abstract,Keywords,Link
RICHTER ARCANGEL,ARPLANTS : A Herbal Leaf Information System Using Augmented Reality,2015-2016(2nd),3,"This paper intends to introduce a mobile application that provides information about herbal plants commonly found in the Philippines utilizing augmented reality. All information about herbal plants were provided by the Philippine Institute of Traditional and Alternative Health Care (PITAHC) including its characteristics, scientific names, vitamin content, uses, where to find it and procedure how to use it. For the development of the mobile application, we used Unity software and Vuforia SDK as it may provide many resources such as image converter, camera, tracker, video background renderer, application code, user-defined targets, and device databases. We also used the Vuforia QCAR algorithm that can identify the tracking points of the image target from the database and will be used for augmentation of 3D models. In evaluating the acceptability of AR Plants mobile application, a 5-point Likert-scaled questionnaire was designed and validated by IT experts. With the total average mean of 4.29, it shows that the mobile application is acceptable in terms suitability, accurateness, learnability, operability, time behavior, resource utilization, and recovery. With the use of multimedia content and AR technology, it can help the user to become aware, engage, and enhance his vision with useful information about the surrounding environment. For future works, we recommend to add additional kinds of herbal plants, provide a cloud database and to use a better algorithm for identifying real-life targets.","augmented reality, object recognition, herbal plants, herbal medicinal plants, mobile application",https://dl.acm.org/doi/abs/10.1145/3168390.3168426
TONY VIC BAYON-ON,ARPLANTS : A Herbal Leaf Information System Using Augmented Reality,2015-2016(2nd),3,"This paper intends to introduce a mobile application that provides information about herbal plants commonly found in the Philippines utilizing augmented reality. All information about herbal plants were provided by the Philippine Institute of Traditional and Alternative Health Care (PITAHC) including its characteristics, scientific names, vitamin content, uses, where to find it and procedure how to use it. For the development of the mobile application, we used Unity software and Vuforia SDK as it may provide many resources such as image converter, camera, tracker, video background renderer, application code, user-defined targets, and device databases. We also used the Vuforia QCAR algorithm that can identify the tracking points of the image target from the database and will be used for augmentation of 3D models. In evaluating the acceptability of AR Plants mobile application, a 5-point Likert-scaled questionnaire was designed and validated by IT experts. With the total average mean of 4.29, it shows that the mobile application is acceptable in terms suitability, accurateness, learnability, operability, time behavior, resource utilization, and recovery. With the use of multimedia content and AR technology, it can help the user to become aware, engage, and enhance his vision with useful information about the surrounding environment. For future works, we recommend to add additional kinds of herbal plants, provide a cloud database and to use a better algorithm for identifying real-life targets.","augmented reality, object recognition, herbal plants, herbal medicinal plants, mobile application",https://dl.acm.org/doi/abs/10.1145/3168390.3168426
JON BRUCE DELCANO,ARPLANTS : A Herbal Leaf Information System Using Augmented Reality,2015-2016(2nd),3,"This paper intends to introduce a mobile application that provides information about herbal plants commonly found in the Philippines utilizing augmented reality. All information about herbal plants were provided by the Philippine Institute of Traditional and Alternative Health Care (PITAHC) including its characteristics, scientific names, vitamin content, uses, where to find it and procedure how to use it. For the development of the mobile application, we used Unity software and Vuforia SDK as it may provide many resources such as image converter, camera, tracker, video background renderer, application code, user-defined targets, and device databases. We also used the Vuforia QCAR algorithm that can identify the tracking points of the image target from the database and will be used for augmentation of 3D models. In evaluating the acceptability of AR Plants mobile application, a 5-point Likert-scaled questionnaire was designed and validated by IT experts. With the total average mean of 4.29, it shows that the mobile application is acceptable in terms suitability, accurateness, learnability, operability, time behavior, resource utilization, and recovery. With the use of multimedia content and AR technology, it can help the user to become aware, engage, and enhance his vision with useful information about the surrounding environment. For future works, we recommend to add additional kinds of herbal plants, provide a cloud database and to use a better algorithm for identifying real-life targets.","augmented reality, object recognition, herbal plants, herbal medicinal plants, mobile application",https://dl.acm.org/doi/abs/10.1145/3168390.3168426
LARCEL ASUNCION,Mobile Application for Dental Diagnostics Using Fuzzy Logic Algorithm,2015-2016(2nd),3,"This paper presents the work of developing a mobile expert system to provide information about the different kinds of kidney diseases. The mobile application developed is capable of diagnosing the user based on their health condition. The source of data used to build the expert system was collected from various related literature studies and interviews with experts in kidney diseases or Nephrology. The information provided by the application will help users in identifying early signs and symptoms of kidney diseases and will also improve their knowledge regarding these diseases. Detection of kidney diseases at a primary stage is essential to increase people's survival rate. The Decision Tree and Fuzzy logic algorithm were utilized to filter different symptoms and provide an accurate result of the diagnostic testing. The mobile application was evaluated by Nephrologist, Patients, and Mobile developers through its functionality, usability, and reliability using the ISO 9126 Software Quality Characteristics standard. The research evaluation results showed that the mobile application was able to achieve the defined objectives from the outcome of the survey given to the experts and other evaluators.","decision tree, expert system, mobile computing, fuzzy logic",https://dl.acm.org/doi/abs/10.1145/3322645.3322703
JAYSON DE LEON,Mobile Application for Dental Diagnostics Using Fuzzy Logic Algorithm,2015-2016(2nd),3,"This paper presents the work of developing a mobile expert system to provide information about the different kinds of kidney diseases. The mobile application developed is capable of diagnosing the user based on their health condition. The source of data used to build the expert system was collected from various related literature studies and interviews with experts in kidney diseases or Nephrology. The information provided by the application will help users in identifying early signs and symptoms of kidney diseases and will also improve their knowledge regarding these diseases. Detection of kidney diseases at a primary stage is essential to increase people's survival rate. The Decision Tree and Fuzzy logic algorithm were utilized to filter different symptoms and provide an accurate result of the diagnostic testing. The mobile application was evaluated by Nephrologist, Patients, and Mobile developers through its functionality, usability, and reliability using the ISO 9126 Software Quality Characteristics standard. The research evaluation results showed that the mobile application was able to achieve the defined objectives from the outcome of the survey given to the experts and other evaluators.","decision tree, expert system, mobile computing, fuzzy logic",https://dl.acm.org/doi/abs/10.1145/3322645.3322703
ANTONIO JAMISAL,Mobile Application for Dental Diagnostics Using Fuzzy Logic Algorithm,2015-2016(2nd),3,"This paper presents the work of developing a mobile expert system to provide information about the different kinds of kidney diseases. The mobile application developed is capable of diagnosing the user based on their health condition. The source of data used to build the expert system was collected from various related literature studies and interviews with experts in kidney diseases or Nephrology. The information provided by the application will help users in identifying early signs and symptoms of kidney diseases and will also improve their knowledge regarding these diseases. Detection of kidney diseases at a primary stage is essential to increase people's survival rate. The Decision Tree and Fuzzy logic algorithm were utilized to filter different symptoms and provide an accurate result of the diagnostic testing. The mobile application was evaluated by Nephrologist, Patients, and Mobile developers through its functionality, usability, and reliability using the ISO 9126 Software Quality Characteristics standard. The research evaluation results showed that the mobile application was able to achieve the defined objectives from the outcome of the survey given to the experts and other evaluators.","decision tree, expert system, mobile computing, fuzzy logic",https://dl.acm.org/doi/abs/10.1145/3322645.3322703
GIANCARLO ESPINOSA,COVISANCE: A Real Time Mobile Recolorization Tool for Aiding Color Vision Deficient Users Utilizing D-15 Color Arrangement Test,2015-2016(2nd),3,"In this paper, we developed a new mobile application designed to serve as a color vision enhancement tool for individuals with color vision deficiency, or commonly known as color blindness. A person who suffers from Color Vision Deficiency (CVD) faces many complexities in everyday life in even the simplest activities due to having a narrower color spectrum which caused them to perceive colors with similar shades and intensity. Hence, to address this problem, a color vision enhancement method using LMS Daltonization Algorithm was utilized to transform or convert the color of images into a clearer and more recognizable colors to differentiate the colors of two unrelated areas. The application was also designed for a real-time image color processing function that minimizes color discrimination by changing the color for better representation. The application also provided an assessment to identify the user's colorblindness type using D-15 Color Arrangement Test. To validate the accuracy and correctness of information, selected doctors of Optometry and CVD users evaluated the mobile application.","color vision deficiency, mobile application, farnsworth d-15 cvd test, image color processing, lms daltonization algorithm",https://dl.acm.org/doi/abs/10.1145/3168390.3168432
GIANCARLO GERALDO,COVISANCE: A Real Time Mobile Recolorization Tool for Aiding Color Vision Deficient Users Utilizing D-15 Color Arrangement Test,2015-2016(2nd),3,"In this paper, we developed a new mobile application designed to serve as a color vision enhancement tool for individuals with color vision deficiency, or commonly known as color blindness. A person who suffers from Color Vision Deficiency (CVD) faces many complexities in everyday life in even the simplest activities due to having a narrower color spectrum which caused them to perceive colors with similar shades and intensity. Hence, to address this problem, a color vision enhancement method using LMS Daltonization Algorithm was utilized to transform or convert the color of images into a clearer and more recognizable colors to differentiate the colors of two unrelated areas. The application was also designed for a real-time image color processing function that minimizes color discrimination by changing the color for better representation. The application also provided an assessment to identify the user's colorblindness type using D-15 Color Arrangement Test. To validate the accuracy and correctness of information, selected doctors of Optometry and CVD users evaluated the mobile application.","color vision deficiency, mobile application, farnsworth d-15 cvd test, image color processing, lms daltonization algorithm",https://dl.acm.org/doi/abs/10.1145/3168390.3168432
GERALD TECSON,COVISANCE: A Real Time Mobile Recolorization Tool for Aiding Color Vision Deficient Users Utilizing D-15 Color Arrangement Test,2015-2016(2nd),3,"In this paper, we developed a new mobile application designed to serve as a color vision enhancement tool for individuals with color vision deficiency, or commonly known as color blindness. A person who suffers from Color Vision Deficiency (CVD) faces many complexities in everyday life in even the simplest activities due to having a narrower color spectrum which caused them to perceive colors with similar shades and intensity. Hence, to address this problem, a color vision enhancement method using LMS Daltonization Algorithm was utilized to transform or convert the color of images into a clearer and more recognizable colors to differentiate the colors of two unrelated areas. The application was also designed for a real-time image color processing function that minimizes color discrimination by changing the color for better representation. The application also provided an assessment to identify the user's colorblindness type using D-15 Color Arrangement Test. To validate the accuracy and correctness of information, selected doctors of Optometry and CVD users evaluated the mobile application.","color vision deficiency, mobile application, farnsworth d-15 cvd test, image color processing, lms daltonization algorithm",https://dl.acm.org/doi/abs/10.1145/3168390.3168432
RICHTER ARCANGEL,ARPLANTS : A Herbal Leaf Information System Using Augmented Reality,2015-2016(1st),3,"This paper intends to introduce a mobile application that provides information about herbal plants commonly found in the Philippines utilizing augmented reality. All information about herbal plants were provided by the Philippine Institute of Traditional and Alternative Health Care (PITAHC) including its characteristics, scientific names, vitamin content, uses, where to find it and procedure how to use it. For the development of the mobile application, we used Unity software and Vuforia SDK as it may provide many resources such as image converter, camera, tracker, video background renderer, application code, user-defined targets, and device databases. We also used the Vuforia QCAR algorithm that can identify the tracking points of the image target from the database and will be used for augmentation of 3D models. In evaluating the acceptability of AR Plants mobile application, a 5-point Likert-scaled questionnaire was designed and validated by IT experts. With the total average mean of 4.29, it shows that the mobile application is acceptable in terms suitability, accurateness, learnability, operability, time behavior, resource utilization, and recovery. With the use of multimedia content and AR technology, it can help the user to become aware, engage, and enhance his vision with useful information about the surrounding environment. For future works, we recommend to add additional kinds of herbal plants, provide a cloud database and to use a better algorithm for identifying real-life targets.","mobile application, herbal medicinal plants, object recognition, herbal plants, augmented reality",https://dl.acm.org/doi/abs/10.1145/3168390.3168426
TONY VIC BAYON-ON,ARPLANTS : A Herbal Leaf Information System Using Augmented Reality,2015-2016(1st),3,"This paper intends to introduce a mobile application that provides information about herbal plants commonly found in the Philippines utilizing augmented reality. All information about herbal plants were provided by the Philippine Institute of Traditional and Alternative Health Care (PITAHC) including its characteristics, scientific names, vitamin content, uses, where to find it and procedure how to use it. For the development of the mobile application, we used Unity software and Vuforia SDK as it may provide many resources such as image converter, camera, tracker, video background renderer, application code, user-defined targets, and device databases. We also used the Vuforia QCAR algorithm that can identify the tracking points of the image target from the database and will be used for augmentation of 3D models. In evaluating the acceptability of AR Plants mobile application, a 5-point Likert-scaled questionnaire was designed and validated by IT experts. With the total average mean of 4.29, it shows that the mobile application is acceptable in terms suitability, accurateness, learnability, operability, time behavior, resource utilization, and recovery. With the use of multimedia content and AR technology, it can help the user to become aware, engage, and enhance his vision with useful information about the surrounding environment. For future works, we recommend to add additional kinds of herbal plants, provide a cloud database and to use a better algorithm for identifying real-life targets.","mobile application, herbal medicinal plants, object recognition, herbal plants, augmented reality",https://dl.acm.org/doi/abs/10.1145/3168390.3168426
 JON BRUCE DELCANO,ARPLANTS : A Herbal Leaf Information System Using Augmented Reality,2015-2016(1st),3,"This paper intends to introduce a mobile application that provides information about herbal plants commonly found in the Philippines utilizing augmented reality. All information about herbal plants were provided by the Philippine Institute of Traditional and Alternative Health Care (PITAHC) including its characteristics, scientific names, vitamin content, uses, where to find it and procedure how to use it. For the development of the mobile application, we used Unity software and Vuforia SDK as it may provide many resources such as image converter, camera, tracker, video background renderer, application code, user-defined targets, and device databases. We also used the Vuforia QCAR algorithm that can identify the tracking points of the image target from the database and will be used for augmentation of 3D models. In evaluating the acceptability of AR Plants mobile application, a 5-point Likert-scaled questionnaire was designed and validated by IT experts. With the total average mean of 4.29, it shows that the mobile application is acceptable in terms suitability, accurateness, learnability, operability, time behavior, resource utilization, and recovery. With the use of multimedia content and AR technology, it can help the user to become aware, engage, and enhance his vision with useful information about the surrounding environment. For future works, we recommend to add additional kinds of herbal plants, provide a cloud database and to use a better algorithm for identifying real-life targets.","mobile application, herbal medicinal plants, object recognition, herbal plants, augmented reality",https://dl.acm.org/doi/abs/10.1145/3168390.3168426
MA. RACHEL T. ATON,BlockSight: A Mobile Image Encryption Using Advanced Encryption Standard and Least Significant Bit Algorithm,2016-2017,3,"In this paper, we developed a new mobile application designed to protect your images stored on your mobile phone using Advanced Encryption Standard algorithm to secure images by encrypting it and Least Significant Bit algorithm to process the encrypted image and embed it into another image. To achieve high level of encryption, a 256 bit length key of Advance Encryption Standard is used to maximize protection and Diffie-Hellman algorithm to secure the processed key to both parties without interference from outside. In steganography, the encrypted image will be invisible into the cover image in which potential hackers do not have any idea about the original image embedded inside of the cover image, and with this even if the hacker got the image it will still need the correct key to decrypt it or else the image will be deleted The study used Rapid Application Development Model as the project development methodology, which allows the preceding phase to iterate until the application is refined, requirements are gathered and allows early testing of the prototypes during every iteration to reduce the risk of any major issues in the final deployment of the application. With the use of ISO/IEC/IEEE 29119 Testing Standards, the application was evaluated in terms of its security, usability and reliability. Based on the evaluation results, the application satisfied the respondents and possible users with an overall mean rating 4.17 or acceptable.","steganography, cover image, stego-image, encrypted image",https://dl.acm.org/doi/abs/10.1145/3209914.3209922
 AL JOSEPH LEE D. CRUZ,BlockSight: A Mobile Image Encryption Using Advanced Encryption Standard and Least Significant Bit Algorithm,2016-2017,3,"In this paper, we developed a new mobile application designed to protect your images stored on your mobile phone using Advanced Encryption Standard algorithm to secure images by encrypting it and Least Significant Bit algorithm to process the encrypted image and embed it into another image. To achieve high level of encryption, a 256 bit length key of Advance Encryption Standard is used to maximize protection and Diffie-Hellman algorithm to secure the processed key to both parties without interference from outside. In steganography, the encrypted image will be invisible into the cover image in which potential hackers do not have any idea about the original image embedded inside of the cover image, and with this even if the hacker got the image it will still need the correct key to decrypt it or else the image will be deleted The study used Rapid Application Development Model as the project development methodology, which allows the preceding phase to iterate until the application is refined, requirements are gathered and allows early testing of the prototypes during every iteration to reduce the risk of any major issues in the final deployment of the application. With the use of ISO/IEC/IEEE 29119 Testing Standards, the application was evaluated in terms of its security, usability and reliability. Based on the evaluation results, the application satisfied the respondents and possible users with an overall mean rating 4.17 or acceptable.","steganography, cover image, stego-image, encrypted image",https://dl.acm.org/doi/abs/10.1145/3209914.3209922
JOHN GABRIEL L. SARTORIO,BlockSight: A Mobile Image Encryption Using Advanced Encryption Standard and Least Significant Bit Algorithm,2016-2017,3,"In this paper, we developed a new mobile application designed to protect your images stored on your mobile phone using Advanced Encryption Standard algorithm to secure images by encrypting it and Least Significant Bit algorithm to process the encrypted image and embed it into another image. To achieve high level of encryption, a 256 bit length key of Advance Encryption Standard is used to maximize protection and Diffie-Hellman algorithm to secure the processed key to both parties without interference from outside. In steganography, the encrypted image will be invisible into the cover image in which potential hackers do not have any idea about the original image embedded inside of the cover image, and with this even if the hacker got the image it will still need the correct key to decrypt it or else the image will be deleted The study used Rapid Application Development Model as the project development methodology, which allows the preceding phase to iterate until the application is refined, requirements are gathered and allows early testing of the prototypes during every iteration to reduce the risk of any major issues in the final deployment of the application. With the use of ISO/IEC/IEEE 29119 Testing Standards, the application was evaluated in terms of its security, usability and reliability. Based on the evaluation results, the application satisfied the respondents and possible users with an overall mean rating 4.17 or acceptable.","steganography, cover image, stego-image, encrypted image",https://dl.acm.org/doi/abs/10.1145/3209914.3209922
JOHN GABRIEL L. TABIEROS,BlockSight: A Mobile Image Encryption Using Advanced Encryption Standard and Least Significant Bit Algorithm,2016-2017,3,"In this paper, we developed a new mobile application designed to protect your images stored on your mobile phone using Advanced Encryption Standard algorithm to secure images by encrypting it and Least Significant Bit algorithm to process the encrypted image and embed it into another image. To achieve high level of encryption, a 256 bit length key of Advance Encryption Standard is used to maximize protection and Diffie-Hellman algorithm to secure the processed key to both parties without interference from outside. In steganography, the encrypted image will be invisible into the cover image in which potential hackers do not have any idea about the original image embedded inside of the cover image, and with this even if the hacker got the image it will still need the correct key to decrypt it or else the image will be deleted The study used Rapid Application Development Model as the project development methodology, which allows the preceding phase to iterate until the application is refined, requirements are gathered and allows early testing of the prototypes during every iteration to reduce the risk of any major issues in the final deployment of the application. With the use of ISO/IEC/IEEE 29119 Testing Standards, the application was evaluated in terms of its security, usability and reliability. Based on the evaluation results, the application satisfied the respondents and possible users with an overall mean rating 4.17 or acceptable.","steganography, cover image, stego-image, encrypted image",BlockSight | Proceedings of the 1st International Conference on Information Science and Systems (acm.org)
ELLIZER MIKKO S. COLLANTES,Improving the Accuracy in Predicting Basketball Results Using Cascading Algorithm,2016-2017,3,"Anybody can guess the winners of a basket game. The question is how big the chances are in predicting the real winners. Relying only on the experts' experiences and intuition could not discover all the value and potential of the collected data. Driven by the increasing comprehensive data in sports datasets and data mining technique successfully used in different areas, sports data mining technique emerges and enables us to find hidden knowledge to impact the sports industry. A more scientific approach is needed to use for these data that are collected. Some predictors based only on winning records and some based only on statistical records of both teams. There are also predictors which use both types of data, but the accuracy of applying different individual algorithms is only ranging about 60% - 70%. To achieve better prediction rates and deal with that complexity, a lot of machine learning methods have been implemented over these data. This paper presents an improved technique for predicting basketball game results implementing cascading algorithm. The researchers combined Naive Bayes, Four Factor Analysis, and Fuzzy Logic Algorithms to predict basketball game result in an acceptable level of 69% - 70% accuracy. The researchers tested several times using data sets from NBA game Season 2015-2016, and the cascading algorithm result manages to reach 70% prediction accuracy. The result of this system can be used to assist basketball coaches in making plans for possible team developments. Also, the forecasted results can serve as an aid in building effective gameplay.","cascading algorithm, fuzzy logic, four factor analysis, naive bayes model, nba",https://dl.acm.org/doi/abs/10.1145/3209914.3209921
